id;beer_name;graduation;type;description;image;image_content_type
1;Shoes foreground;25816;Shirt green Nevada;Agent;../fake-data/blob/hipster.png;image/png
2;Branding Club;55049;Investment Account;Chicken;../fake-data/blob/hipster.png;image/png
3;Intelligent Stravenue invoice;83110;Gorgeous Concrete Bike program Metal;Mill;../fake-data/blob/hipster.png;image/png
4;Silver;24581;Creative synergize;ADP;../fake-data/blob/hipster.png;image/png
5;facilitate;92068;holistic;interactive;../fake-data/blob/hipster.png;image/png
6;synthesizing Metal;29896;Kids;explicit Rand Namibia Dollar;../fake-data/blob/hipster.png;image/png
7;Jewelery hardware invoice;73551;sticky architect turn-key;Kroon Bike Bedfordshire;../fake-data/blob/hipster.png;image/png
8;Nuevo Sol withdrawal Course;47545;Investor;orange;../fake-data/blob/hipster.png;image/png
9;embrace HTTP Technician;59103;withdrawal;Auto Loan Account Rustic Soft Mouse Intelligent Wooden Shirt;../fake-data/blob/hipster.png;image/png
10;digital maximize;6423;emulation;Avon Maryland;../fake-data/blob/hipster.png;image/png
