id;country_name;country_code;region
1;content backing up Usability;BD;Hill Berkshire virtual
2;Solomon Islands Dollar interface Gorgeous Steel Chair;LV;Generic Frozen Gloves interactive
3;even-keeled Tasty Norway;MR;Bahamian Dollar overriding Savings Account
4;open-source;GQ;Plastic Tuna
5;Fresh;BS;back up cutting-edge Cotton
6;explicit;YT;alarm Music 4th generation
7;Bulgarian Lev Refined Rubber Fish;CY;Sharable
8;Officer Money Market Account Oklahoma;SO;Movies Rubber
9;engineer;GM;Handcrafted Fresh Pizza
10;sexy;TV;Senegal
